region_nombre,Básica o menos,Media,Técnica,Universitaria
Ñuble,20.460668691946747,21.007377805998363,41.30901443813041,17.222939063924482
La Araucanía,20.105454407591782,19.889354529202645,41.82320055293572,18.181990510269845
Maule,20.054935352861545,21.55728645516556,41.93699438220618,16.45078380976672
Los Ríos,18.634810260444304,19.713841507081607,42.12080845711147,19.530539775362616
Los Lagos,18.49814286846316,20.735636524879492,41.74035901733042,19.02586158932693
O'Higgins,17.93719914773022,19.75885917855763,44.73409508523438,17.569846588477773
Biobío,15.437509452293984,18.279842897145294,44.06460098716321,22.21804666339751
Aysén,15.167954408460737,19.060405136354504,42.17582698595357,23.595813469231192
Coquimbo,14.288275367515238,18.319081818543992,47.63917410027127,19.753468713669502
Atacama,12.655394558103158,19.030173300950892,49.93310830280328,18.381323838142674
Valparaíso,11.803078068684329,16.97652842925722,48.31127373936821,22.909119762690246
Magallanes,10.750156391186488,17.305553624800165,48.865295058038505,23.07899492597484
Arica y Parinacota,10.412910434495544,16.090428908809265,52.64544554204017,20.85121511465502
Metropolitana,10.220423171458219,15.972039752709424,45.11279574855898,28.69474132727337
Tarapacá,9.045754714922332,18.1347195488689,51.763103795943486,21.056421940265285
Antofagasta,8.536013090806529,16.062740559374248,52.898140200981814,22.50310614883741
